comune,candidato,voti,voti_numeric,percentuale,perc_numeric,provincia
Anghiari,Ceccardi Susanna,1.349,1349,"49,02",49.02,Arezzo
Anghiari,Giani Eugenio,1.096,1096,"39,83",39.83,Arezzo
Anghiari,Galletti Irene,172,172,"6,25",6.25,Arezzo
Anghiari,Fattori Tommaso,86,86,"3,12",3.12,Arezzo
Anghiari,Barzanti Marco,38,38,"1,38",1.38,Arezzo
Anghiari,Catello Salvatore,11,11,"0,4",0.4,Arezzo
Arezzo,Ceccardi Susanna,24.022,24022,"49,01",49.01,Arezzo
Arezzo,Giani Eugenio,20.595,20595,"42,02",42.02,Arezzo
Arezzo,Galletti Irene,2.794,2794,"5,7",5.7,Arezzo
Arezzo,Barzanti Marco,659,659,"1,34",1.34,Arezzo
Arezzo,Fattori Tommaso,650,650,"1,33",1.33,Arezzo
Arezzo,Catello Salvatore,294,294,"0,6",0.6,Arezzo
Badia Tedalda,Ceccardi Susanna,283,283,"57,87",57.87,Arezzo
Badia Tedalda,Giani Eugenio,168,168,"34,36",34.36,Arezzo
Badia Tedalda,Galletti Irene,20,20,"4,09",4.09,Arezzo
Badia Tedalda,Barzanti Marco,13,13,"2,66",2.66,Arezzo
Badia Tedalda,Fattori Tommaso,3,3,"0,61",0.61,Arezzo
Badia Tedalda,Catello Salvatore,2,2,"0,41",0.41,Arezzo
Bibbiena,Giani Eugenio,2.696,2696,"50,81",50.81,Arezzo
Bibbiena,Ceccardi Susanna,2.125,2125,"40,05",40.05,Arezzo
Bibbiena,Galletti Irene,299,299,"5,64",5.64,Arezzo
Bibbiena,Fattori Tommaso,93,93,"1,75",1.75,Arezzo
Bibbiena,Barzanti Marco,60,60,"1,13",1.13,Arezzo
Bibbiena,Catello Salvatore,33,33,"0,62",0.62,Arezzo
Bucine,Giani Eugenio,2.453,2453,"49,79",49.79,Arezzo
Bucine,Ceccardi Susanna,1.938,1938,"39,33",39.33,Arezzo
Bucine,Galletti Irene,357,357,"7,25",7.25,Arezzo
Bucine,Barzanti Marco,85,85,"1,73",1.73,Arezzo
Bucine,Fattori Tommaso,50,50,"1,01",1.01,Arezzo
Bucine,Catello Salvatore,44,44,"0,89",0.89,Arezzo
Capolona,Ceccardi Susanna,1.2,12,"46,69",46.69,Arezzo
Capolona,Giani Eugenio,1.087,1087,"42,3",42.3,Arezzo
Capolona,Galletti Irene,184,184,"7,16",7.16,Arezzo
Capolona,Barzanti Marco,44,44,"1,71",1.71,Arezzo
Capolona,Fattori Tommaso,29,29,"1,13",1.13,Arezzo
Capolona,Catello Salvatore,26,26,"1,01",1.01,Arezzo
Caprese Michelangelo,Ceccardi Susanna,317,317,"54,0",54,Arezzo
Caprese Michelangelo,Giani Eugenio,227,227,"38,67",38.67,Arezzo
Caprese Michelangelo,Galletti Irene,20,20,"3,41",3.41,Arezzo
Caprese Michelangelo,Fattori Tommaso,11,11,"1,87",1.87,Arezzo
Caprese Michelangelo,Barzanti Marco,7,7,"1,19",1.19,Arezzo
Caprese Michelangelo,Catello Salvatore,5,5,"0,85",0.85,Arezzo
Castel Focognano,Ceccardi Susanna,659,659,"46,87",46.87,Arezzo
Castel Focognano,Giani Eugenio,603,603,"42,89",42.89,Arezzo
Castel Focognano,Galletti Irene,87,87,"6,19",6.19,Arezzo
Castel Focognano,Barzanti Marco,24,24,"1,71",1.71,Arezzo
Castel Focognano,Fattori Tommaso,23,23,"1,64",1.64,Arezzo
Castel Focognano,Catello Salvatore,10,10,"0,71",0.71,Arezzo
Castel San Niccolò,Giani Eugenio,709,709,"56,31",56.31,Arezzo
Castel San Niccolò,Ceccardi Susanna,456,456,"36,22",36.22,Arezzo
Castel San Niccolò,Galletti Irene,60,60,"4,77",4.77,Arezzo
Castel San Niccolò,Fattori Tommaso,16,16,"1,27",1.27,Arezzo
Castel San Niccolò,Barzanti Marco,15,15,"1,19",1.19,Arezzo
Castel San Niccolò,Catello Salvatore,3,3,"0,24",0.24,Arezzo
Castelfranco Piandiscò,Giani Eugenio,2.323,2323,"48,01",48.01,Arezzo
Castelfranco Piandiscò,Ceccardi Susanna,1.941,1941,"40,11",40.11,Arezzo
Castelfranco Piandiscò,Galletti Irene,396,396,"8,18",8.18,Arezzo
Castelfranco Piandiscò,Fattori Tommaso,94,94,"1,94",1.94,Arezzo
Castelfranco Piandiscò,Barzanti Marco,63,63,"1,3",1.3,Arezzo
Castelfranco Piandiscò,Catello Salvatore,22,22,"0,45",0.45,Arezzo
Castiglion Fibocchi,Ceccardi Susanna,567,567,"54,21",54.21,Arezzo
Castiglion Fibocchi,Giani Eugenio,401,401,"38,34",38.34,Arezzo
Castiglion Fibocchi,Galletti Irene,43,43,"4,11",4.11,Arezzo
Castiglion Fibocchi,Catello Salvatore,14,14,"1,34",1.34,Arezzo
Castiglion Fibocchi,Barzanti Marco,12,12,"1,15",1.15,Arezzo
Castiglion Fibocchi,Fattori Tommaso,9,9,"0,86",0.86,Arezzo
Castiglion Fiorentino,Ceccardi Susanna,3.463,3463,"56,78",56.78,Arezzo
Castiglion Fiorentino,Giani Eugenio,2.153,2153,"35,3",35.3,Arezzo
Castiglion Fiorentino,Galletti Irene,320,320,"5,25",5.25,Arezzo
Castiglion Fiorentino,Fattori Tommaso,67,67,"1,1",1.1,Arezzo
Castiglion Fiorentino,Barzanti Marco,65,65,"1,07",1.07,Arezzo
Castiglion Fiorentino,Catello Salvatore,31,31,"0,51",0.51,Arezzo
Cavriglia,Giani Eugenio,2.81,281,"56,91",56.91,Arezzo
Cavriglia,Ceccardi Susanna,1.488,1488,"30,13",30.13,Arezzo
Cavriglia,Galletti Irene,421,421,"8,53",8.53,Arezzo
Cavriglia,Fattori Tommaso,86,86,"1,74",1.74,Arezzo
Cavriglia,Barzanti Marco,81,81,"1,64",1.64,Arezzo
Cavriglia,Catello Salvatore,52,52,"1,05",1.05,Arezzo
Chitignano,Giani Eugenio,222,222,"47,33",47.33,Arezzo
Chitignano,Ceccardi Susanna,203,203,"43,28",43.28,Arezzo
Chitignano,Galletti Irene,19,19,"4,05",4.05,Arezzo
Chitignano,Fattori Tommaso,10,10,"2,13",2.13,Arezzo
Chitignano,Barzanti Marco,10,10,"2,13",2.13,Arezzo
Chitignano,Catello Salvatore,5,5,"1,07",1.07,Arezzo
Chiusi della Verna,Giani Eugenio,455,455,"45,36",45.36,Arezzo
Chiusi della Verna,Ceccardi Susanna,452,452,"45,06",45.06,Arezzo
Chiusi della Verna,Galletti Irene,48,48,"4,79",4.79,Arezzo
Chiusi della Verna,Fattori Tommaso,27,27,"2,69",2.69,Arezzo
Chiusi della Verna,Barzanti Marco,12,12,"1,2",1.2,Arezzo
Chiusi della Verna,Catello Salvatore,9,9,"0,9",0.9,Arezzo
Civitella in Val di Chiana,Ceccardi Susanna,2.256,2256,"50,95",50.95,Arezzo
Civitella in Val di Chiana,Giani Eugenio,1.757,1757,"39,68",39.68,Arezzo
Civitella in Val di Chiana,Galletti Irene,255,255,"5,76",5.76,Arezzo
Civitella in Val di Chiana,Barzanti Marco,64,64,"1,45",1.45,Arezzo
Civitella in Val di Chiana,Fattori Tommaso,61,61,"1,38",1.38,Arezzo
Civitella in Val di Chiana,Catello Salvatore,35,35,"0,79",0.79,Arezzo
Cortona,Ceccardi Susanna,5.214,5214,"49,98",49.98,Arezzo
Cortona,Giani Eugenio,4.492,4492,"43,06",43.06,Arezzo
Cortona,Galletti Irene,398,398,"3,82",3.82,Arezzo
Cortona,Barzanti Marco,125,125,"1,2",1.2,Arezzo
Cortona,Fattori Tommaso,117,117,"1,12",1.12,Arezzo
Cortona,Catello Salvatore,86,86,"0,82",0.82,Arezzo
Foiano della Chiana,Ceccardi Susanna,1.743,1743,"46,75",46.75,Arezzo
Foiano della Chiana,Giani Eugenio,1.618,1618,"43,4",43.4,Arezzo
Foiano della Chiana,Galletti Irene,268,268,"7,19",7.19,Arezzo
Foiano della Chiana,Barzanti Marco,43,43,"1,15",1.15,Arezzo
Foiano della Chiana,Fattori Tommaso,34,34,"0,91",0.91,Arezzo
Foiano della Chiana,Catello Salvatore,22,22,"0,59",0.59,Arezzo
Loro Ciuffenna,Giani Eugenio,1.416,1416,"47,81",47.81,Arezzo
Loro Ciuffenna,Ceccardi Susanna,1.216,1216,"41,05",41.05,Arezzo
Loro Ciuffenna,Galletti Irene,216,216,"7,29",7.29,Arezzo
Loro Ciuffenna,Fattori Tommaso,49,49,"1,65",1.65,Arezzo
Loro Ciuffenna,Barzanti Marco,43,43,"1,45",1.45,Arezzo
Loro Ciuffenna,Catello Salvatore,22,22,"0,74",0.74,Arezzo
Lucignano,Ceccardi Susanna,834,834,"49,35",49.35,Arezzo
Lucignano,Giani Eugenio,713,713,"42,19",42.19,Arezzo
Lucignano,Galletti Irene,94,94,"5,56",5.56,Arezzo
Lucignano,Barzanti Marco,28,28,"1,66",1.66,Arezzo
Lucignano,Fattori Tommaso,13,13,"0,77",0.77,Arezzo
Lucignano,Catello Salvatore,8,8,"0,47",0.47,Arezzo
Marciano della Chiana,Ceccardi Susanna,890,890,"54,9",54.9,Arezzo
Marciano della Chiana,Giani Eugenio,603,603,"37,2",37.2,Arezzo
Marciano della Chiana,Galletti Irene,86,86,"5,31",5.31,Arezzo
Marciano della Chiana,Barzanti Marco,21,21,"1,3",1.3,Arezzo
Marciano della Chiana,Fattori Tommaso,12,12,"0,74",0.74,Arezzo
Marciano della Chiana,Catello Salvatore,9,9,"0,56",0.56,Arezzo
Monte San Savino,Ceccardi Susanna,2.252,2252,"54,83",54.83,Arezzo
Monte San Savino,Giani Eugenio,1.509,1509,"36,74",36.74,Arezzo
Monte San Savino,Galletti Irene,225,225,"5,48",5.48,Arezzo
Monte San Savino,Barzanti Marco,54,54,"1,31",1.31,Arezzo
Monte San Savino,Catello Salvatore,34,34,"0,83",0.83,Arezzo
Monte San Savino,Fattori Tommaso,33,33,"0,8",0.8,Arezzo
Montemignaio,Giani Eugenio,151,151,"51,01",51.01,Arezzo
Montemignaio,Ceccardi Susanna,121,121,"40,88",40.88,Arezzo
Montemignaio,Galletti Irene,11,11,"3,72",3.72,Arezzo
Montemignaio,Catello Salvatore,6,6,"2,03",2.03,Arezzo
Montemignaio,Barzanti Marco,4,4,"1,35",1.35,Arezzo
Montemignaio,Fattori Tommaso,3,3,"1,01",1.01,Arezzo
Monterchi,Ceccardi Susanna,459,459,"54,58",54.58,Arezzo
Monterchi,Giani Eugenio,324,324,"38,53",38.53,Arezzo
Monterchi,Galletti Irene,35,35,"4,16",4.16,Arezzo
Monterchi,Fattori Tommaso,9,9,"1,07",1.07,Arezzo
Monterchi,Barzanti Marco,8,8,"0,95",0.95,Arezzo
Monterchi,Catello Salvatore,6,6,"0,71",0.71,Arezzo
Montevarchi,Giani Eugenio,5.457,5457,"49,84",49.84,Arezzo
Montevarchi,Ceccardi Susanna,4.448,4448,"40,63",40.63,Arezzo
Montevarchi,Galletti Irene,743,743,"6,79",6.79,Arezzo
Montevarchi,Barzanti Marco,141,141,"1,29",1.29,Arezzo
Montevarchi,Fattori Tommaso,112,112,"1,02",1.02,Arezzo
Montevarchi,Catello Salvatore,47,47,"0,43",0.43,Arezzo
Ortignano Raggiolo,Giani Eugenio,245,245,"54,08",54.08,Arezzo
Ortignano Raggiolo,Ceccardi Susanna,164,164,"36,2",36.2,Arezzo
Ortignano Raggiolo,Galletti Irene,27,27,"5,96",5.96,Arezzo
Ortignano Raggiolo,Fattori Tommaso,10,10,"2,21",2.21,Arezzo
Ortignano Raggiolo,Barzanti Marco,4,4,"0,88",0.88,Arezzo
Ortignano Raggiolo,Catello Salvatore,3,3,"0,66",0.66,Arezzo
Pieve Santo Stefano,Ceccardi Susanna,839,839,"55,75",55.75,Arezzo
Pieve Santo Stefano,Giani Eugenio,525,525,"34,88",34.88,Arezzo
Pieve Santo Stefano,Galletti Irene,91,91,"6,05",6.05,Arezzo
Pieve Santo Stefano,Fattori Tommaso,26,26,"1,73",1.73,Arezzo
Pieve Santo Stefano,Barzanti Marco,16,16,"1,06",1.06,Arezzo
Pieve Santo Stefano,Catello Salvatore,8,8,"0,53",0.53,Arezzo
Poppi,Giani Eugenio,1.374,1374,"47,33",47.33,Arezzo
Poppi,Ceccardi Susanna,1.297,1297,"44,68",44.68,Arezzo
Poppi,Galletti Irene,125,125,"4,31",4.31,Arezzo
Poppi,Fattori Tommaso,56,56,"1,93",1.93,Arezzo
Poppi,Barzanti Marco,36,36,"1,24",1.24,Arezzo
Poppi,Catello Salvatore,15,15,"0,52",0.52,Arezzo
Pratovecchio Stia,Giani Eugenio,1.401,1401,"49,4",49.4,Arezzo
Pratovecchio Stia,Ceccardi Susanna,1.21,121,"42,67",42.67,Arezzo
Pratovecchio Stia,Galletti Irene,142,142,"5,01",5.01,Arezzo
Pratovecchio Stia,Fattori Tommaso,38,38,"1,34",1.34,Arezzo
Pratovecchio Stia,Barzanti Marco,27,27,"0,95",0.95,Arezzo
Pratovecchio Stia,Catello Salvatore,18,18,"0,63",0.63,Arezzo
San Giovanni Valdarno,Giani Eugenio,4.395,4395,"54,62",54.62,Arezzo
San Giovanni Valdarno,Ceccardi Susanna,2.609,2609,"32,43",32.43,Arezzo
San Giovanni Valdarno,Galletti Irene,688,688,"8,55",8.55,Arezzo
San Giovanni Valdarno,Fattori Tommaso,166,166,"2,06",2.06,Arezzo
San Giovanni Valdarno,Barzanti Marco,130,130,"1,62",1.62,Arezzo
San Giovanni Valdarno,Catello Salvatore,58,58,"0,72",0.72,Arezzo
Sansepolcro,Ceccardi Susanna,3.892,3892,"51,5",51.5,Arezzo
Sansepolcro,Giani Eugenio,2.996,2996,"39,64",39.64,Arezzo
Sansepolcro,Galletti Irene,413,413,"5,46",5.46,Arezzo
Sansepolcro,Fattori Tommaso,125,125,"1,65",1.65,Arezzo
Sansepolcro,Barzanti Marco,96,96,"1,27",1.27,Arezzo
Sansepolcro,Catello Salvatore,36,36,"0,48",0.48,Arezzo
Sestino,Ceccardi Susanna,316,316,"57,14",57.14,Arezzo
Sestino,Giani Eugenio,195,195,"35,26",35.26,Arezzo
Sestino,Galletti Irene,34,34,"6,15",6.15,Arezzo
Sestino,Barzanti Marco,7,7,"1,27",1.27,Arezzo
Sestino,Catello Salvatore,1,1,"0,18",0.18,Arezzo
Sestino,Fattori Tommaso,0,0,"0,0",0,Arezzo
Subbiano,Ceccardi Susanna,1.376,1376,"48,99",48.99,Arezzo
Subbiano,Giani Eugenio,1.152,1152,"41,01",41.01,Arezzo
Subbiano,Galletti Irene,187,187,"6,66",6.66,Arezzo
Subbiano,Fattori Tommaso,44,44,"1,57",1.57,Arezzo
Subbiano,Barzanti Marco,29,29,"1,03",1.03,Arezzo
Subbiano,Catello Salvatore,21,21,"0,75",0.75,Arezzo
Talla,Ceccardi Susanna,222,222,"46,06",46.06,Arezzo
Talla,Giani Eugenio,206,206,"42,74",42.74,Arezzo
Talla,Fattori Tommaso,17,17,"3,53",3.53,Arezzo
Talla,Galletti Irene,16,16,"3,32",3.32,Arezzo
Talla,Barzanti Marco,15,15,"3,11",3.11,Arezzo
Talla,Catello Salvatore,6,6,"1,24",1.24,Arezzo
Terranuova Bracciolini,Giani Eugenio,2.98,298,"50,13",50.13,Arezzo
Terranuova Bracciolini,Ceccardi Susanna,2.26,226,"38,02",38.02,Arezzo
Terranuova Bracciolini,Galletti Irene,480,480,"8,08",8.08,Arezzo
Terranuova Bracciolini,Barzanti Marco,93,93,"1,56",1.56,Arezzo
Terranuova Bracciolini,Fattori Tommaso,86,86,"1,45",1.45,Arezzo
Terranuova Bracciolini,Catello Salvatore,45,45,"0,76",0.76,Arezzo
Laterina Pergine Valdarno,Ceccardi Susanna,1.407,1407,"45,59",45.59,Arezzo
Laterina Pergine Valdarno,Giani Eugenio,1.303,1303,"42,22",42.22,Arezzo
Laterina Pergine Valdarno,Galletti Irene,246,246,"7,97",7.97,Arezzo
Laterina Pergine Valdarno,Catello Salvatore,50,50,"1,62",1.62,Arezzo
Laterina Pergine Valdarno,Barzanti Marco,45,45,"1,46",1.46,Arezzo
Laterina Pergine Valdarno,Fattori Tommaso,35,35,"1,13",1.13,Arezzo
Arcidosso,Ceccardi Susanna,894,894,"49,78",49.78,Grosseto
Arcidosso,Giani Eugenio,720,720,"40,09",40.09,Grosseto
Arcidosso,Galletti Irene,111,111,"6,18",6.18,Grosseto
Arcidosso,Fattori Tommaso,36,36,"2,0",2,Grosseto
Arcidosso,Barzanti Marco,24,24,"1,34",1.34,Grosseto
Arcidosso,Catello Salvatore,11,11,"0,61",0.61,Grosseto
Campagnatico,Ceccardi Susanna,720,720,"62,02",62.02,Grosseto
Campagnatico,Giani Eugenio,368,368,"31,7",31.7,Grosseto
Campagnatico,Galletti Irene,46,46,"3,96",3.96,Grosseto
Campagnatico,Fattori Tommaso,11,11,"0,95",0.95,Grosseto
Campagnatico,Barzanti Marco,11,11,"0,95",0.95,Grosseto
Campagnatico,Catello Salvatore,5,5,"0,43",0.43,Grosseto
Capalbio,Ceccardi Susanna,850,850,"48,27",48.27,Grosseto
Capalbio,Giani Eugenio,733,733,"41,62",41.62,Grosseto
Capalbio,Galletti Irene,103,103,"5,85",5.85,Grosseto
Capalbio,Fattori Tommaso,42,42,"2,39",2.39,Grosseto
Capalbio,Barzanti Marco,21,21,"1,19",1.19,Grosseto
Capalbio,Catello Salvatore,12,12,"0,68",0.68,Grosseto
Castel del Piano,Ceccardi Susanna,1.01,101,"49,75",49.75,Grosseto
Castel del Piano,Giani Eugenio,843,843,"41,53",41.53,Grosseto
Castel del Piano,Galletti Irene,115,115,"5,67",5.67,Grosseto
Castel del Piano,Fattori Tommaso,31,31,"1,53",1.53,Grosseto
Castel del Piano,Barzanti Marco,20,20,"0,99",0.99,Grosseto
Castel del Piano,Catello Salvatore,11,11,"0,54",0.54,Grosseto
Castell'Azzara,Giani Eugenio,353,353,"50,0",50,Grosseto
Castell'Azzara,Ceccardi Susanna,291,291,"41,22",41.22,Grosseto
Castell'Azzara,Galletti Irene,24,24,"3,4",3.4,Grosseto
Castell'Azzara,Barzanti Marco,16,16,"2,27",2.27,Grosseto
Castell'Azzara,Catello Salvatore,12,12,"1,7",1.7,Grosseto
Castell'Azzara,Fattori Tommaso,10,10,"1,42",1.42,Grosseto
Castiglione della Pescaia,Ceccardi Susanna,1.781,1781,"49,72",49.72,Grosseto
Castiglione della Pescaia,Giani Eugenio,1.457,1457,"40,68",40.68,Grosseto
Castiglione della Pescaia,Galletti Irene,255,255,"7,12",7.12,Grosseto
Castiglione della Pescaia,Fattori Tommaso,44,44,"1,23",1.23,Grosseto
Castiglione della Pescaia,Barzanti Marco,24,24,"0,67",0.67,Grosseto
Castiglione della Pescaia,Catello Salvatore,21,21,"0,59",0.59,Grosseto
Cinigiano,Ceccardi Susanna,560,560,"52,0",52,Grosseto
Cinigiano,Giani Eugenio,429,429,"39,83",39.83,Grosseto
Cinigiano,Galletti Irene,39,39,"3,62",3.62,Grosseto
Cinigiano,Fattori Tommaso,27,27,"2,51",2.51,Grosseto
Cinigiano,Barzanti Marco,14,14,"1,3",1.3,Grosseto
Cinigiano,Catello Salvatore,8,8,"0,74",0.74,Grosseto
Civitella Paganico,Ceccardi Susanna,705,705,"49,75",49.75,Grosseto
Civitella Paganico,Giani Eugenio,625,625,"44,11",44.11,Grosseto
Civitella Paganico,Galletti Irene,50,50,"3,53",3.53,Grosseto
Civitella Paganico,Barzanti Marco,15,15,"1,06",1.06,Grosseto
Civitella Paganico,Fattori Tommaso,14,14,"0,99",0.99,Grosseto
Civitella Paganico,Catello Salvatore,8,8,"0,56",0.56,Grosseto
Follonica,Ceccardi Susanna,5.081,5081,"45,38",45.38,Grosseto
Follonica,Giani Eugenio,4.918,4918,"43,92",43.92,Grosseto
Follonica,Galletti Irene,701,701,"6,26",6.26,Grosseto
Follonica,Fattori Tommaso,281,281,"2,51",2.51,Grosseto
Follonica,Barzanti Marco,157,157,"1,4",1.4,Grosseto
Follonica,Catello Salvatore,59,59,"0,53",0.53,Grosseto
Gavorrano,Giani Eugenio,1.597,1597,"43,96",43.96,Grosseto
Gavorrano,Ceccardi Susanna,1.544,1544,"42,5",42.5,Grosseto
Gavorrano,Galletti Irene,287,287,"7,9",7.9,Grosseto
Gavorrano,Barzanti Marco,93,93,"2,56",2.56,Grosseto
Gavorrano,Fattori Tommaso,83,83,"2,28",2.28,Grosseto
Gavorrano,Catello Salvatore,29,29,"0,8",0.8,Grosseto
Grosseto,Ceccardi Susanna,18.246,18246,"47,83",47.83,Grosseto
Grosseto,Giani Eugenio,16.171,16171,"42,39",42.39,Grosseto
Grosseto,Galletti Irene,2.748,2748,"7,2",7.2,Grosseto
Grosseto,Fattori Tommaso,430,430,"1,13",1.13,Grosseto
Grosseto,Barzanti Marco,393,393,"1,03",1.03,Grosseto
Grosseto,Catello Salvatore,157,157,"0,41",0.41,Grosseto
Isola del Giglio,Ceccardi Susanna,341,341,"57,99",57.99,Grosseto
Isola del Giglio,Giani Eugenio,215,215,"36,56",36.56,Grosseto
Isola del Giglio,Galletti Irene,22,22,"3,74",3.74,Grosseto
Isola del Giglio,Fattori Tommaso,4,4,"0,68",0.68,Grosseto
Isola del Giglio,Catello Salvatore,3,3,"0,51",0.51,Grosseto
Isola del Giglio,Barzanti Marco,3,3,"0,51",0.51,Grosseto
Magliano in Toscana,Ceccardi Susanna,947,947,"54,21",54.21,Grosseto
Magliano in Toscana,Giani Eugenio,668,668,"38,24",38.24,Grosseto
Magliano in Toscana,Galletti Irene,84,84,"4,81",4.81,Grosseto
Magliano in Toscana,Fattori Tommaso,22,22,"1,26",1.26,Grosseto
Magliano in Toscana,Barzanti Marco,17,17,"0,97",0.97,Grosseto
Magliano in Toscana,Catello Salvatore,9,9,"0,52",0.52,Grosseto
Manciano,Ceccardi Susanna,1.548,1548,"50,41",50.41,Grosseto
Manciano,Giani Eugenio,1.167,1167,"38,0",38,Grosseto
Manciano,Galletti Irene,147,147,"4,79",4.79,Grosseto
Manciano,Barzanti Marco,145,145,"4,72",4.72,Grosseto
Manciano,Fattori Tommaso,53,53,"1,73",1.73,Grosseto
Manciano,Catello Salvatore,11,11,"0,36",0.36,Grosseto
Massa Marittima,Giani Eugenio,1.77,177,"45,85",45.85,Grosseto
Massa Marittima,Ceccardi Susanna,1.694,1694,"43,89",43.89,Grosseto
Massa Marittima,Galletti Irene,243,243,"6,3",6.3,Grosseto
Massa Marittima,Barzanti Marco,85,85,"2,2",2.2,Grosseto
Massa Marittima,Fattori Tommaso,48,48,"1,24",1.24,Grosseto
Massa Marittima,Catello Salvatore,20,20,"0,52",0.52,Grosseto
Monte Argentario,Ceccardi Susanna,2.605,2605,"51,54",51.54,Grosseto
Monte Argentario,Giani Eugenio,1.839,1839,"36,39",36.39,Grosseto
Monte Argentario,Galletti Irene,469,469,"9,28",9.28,Grosseto
Monte Argentario,Fattori Tommaso,69,69,"1,37",1.37,Grosseto
Monte Argentario,Barzanti Marco,47,47,"0,93",0.93,Grosseto
Monte Argentario,Catello Salvatore,25,25,"0,49",0.49,Grosseto
Monterotondo Marittimo,Giani Eugenio,326,326,"58,21",58.21,Grosseto
Monterotondo Marittimo,Ceccardi Susanna,169,169,"30,18",30.18,Grosseto
Monterotondo Marittimo,Galletti Irene,28,28,"5,0",5,Grosseto
Monterotondo Marittimo,Barzanti Marco,17,17,"3,04",3.04,Grosseto
Monterotondo Marittimo,Fattori Tommaso,14,14,"2,5",2.5,Grosseto
Monterotondo Marittimo,Catello Salvatore,6,6,"1,07",1.07,Grosseto
Montieri,Giani Eugenio,248,248,"50,0",50,Grosseto
Montieri,Ceccardi Susanna,189,189,"38,1",38.1,Grosseto
Montieri,Galletti Irene,28,28,"5,65",5.65,Grosseto
Montieri,Fattori Tommaso,15,15,"3,02",3.02,Grosseto
Montieri,Barzanti Marco,13,13,"2,62",2.62,Grosseto
Montieri,Catello Salvatore,3,3,"0,6",0.6,Grosseto
Orbetello,Ceccardi Susanna,3.659,3659,"51,23",51.23,Grosseto
Orbetello,Giani Eugenio,2.773,2773,"38,83",38.83,Grosseto
Orbetello,Galletti Irene,419,419,"5,87",5.87,Grosseto
Orbetello,Fattori Tommaso,128,128,"1,79",1.79,Grosseto
Orbetello,Barzanti Marco,82,82,"1,15",1.15,Grosseto
Orbetello,Catello Salvatore,81,81,"1,13",1.13,Grosseto
Pitigliano,Giani Eugenio,732,732,"42,31",42.31,Grosseto
Pitigliano,Ceccardi Susanna,730,730,"42,2",42.2,Grosseto
Pitigliano,Galletti Irene,190,190,"10,98",10.98,Grosseto
Pitigliano,Barzanti Marco,38,38,"2,2",2.2,Grosseto
Pitigliano,Fattori Tommaso,24,24,"1,39",1.39,Grosseto
Pitigliano,Catello Salvatore,16,16,"0,92",0.92,Grosseto
Roccalbegna,Ceccardi Susanna,255,255,"59,3",59.3,Grosseto
Roccalbegna,Giani Eugenio,138,138,"32,09",32.09,Grosseto
Roccalbegna,Galletti Irene,19,19,"4,42",4.42,Grosseto
Roccalbegna,Fattori Tommaso,9,9,"2,09",2.09,Grosseto
Roccalbegna,Barzanti Marco,6,6,"1,4",1.4,Grosseto
Roccalbegna,Catello Salvatore,3,3,"0,7",0.7,Grosseto
Roccastrada,Giani Eugenio,2.048,2048,"49,22",49.22,Grosseto
Roccastrada,Ceccardi Susanna,1.677,1677,"40,3",40.3,Grosseto
