"COMUNE","PROVINCIA","VOTI_Altri","VOTI_CDX","VOTI_CSX/M5S","PCT_Altri","PCT_CDX","PCT_CSX/M5S","ELETTORI","VOTANTI","BIANCHE","VOTI_ESPRESSI","AFFLUENZA","VINCITORE","DIFF_VOTI","X","Y","COD_PROV","COD_REG"
"MINERVINO DI LECCE","LECCE",25,1097,867,1.26,55.15,43.59,3550,2104,72,2032,59.27,"CDX",230,18.41523,40.087042,75,16
"MINERVINO MURGE","BARLETTA-ANDRIA-TRANI",67,2004,2225,1.56,46.65,51.79,8560,4732,199,4533,55.28,"CSX/M5S",221,16.07934,41.080826,110,16
"MODUGNO","BARI",496,4185,15464,2.46,20.77,76.76,31625,22193,1453,20740,70.18,"CSX/M5S",11279,16.784932,41.083734,72,16
"MOLA DI BARI","BARI",535,3314,6750,5.05,31.27,63.69,25981,11196,363,10833,43.09,"CSX/M5S",3436,17.07726,41.040035,72,16
"MOLFETTA","BARI",839,10330,14426,3.28,40.36,56.36,56227,27136,772,26364,48.26,"CSX/M5S",4096,16.570388,41.183263,72,16
"MONOPOLI","BARI",547,9354,11413,2.57,43.89,53.55,44536,22447,630,21817,50.4,"CSX/M5S",2059,17.278685,40.898609,72,16
"MONTE SANT'ANGELO","FOGGIA",220,1732,4062,3.66,28.8,67.54,11555,6371,181,6190,55.14,"CSX/M5S",2330,15.943302,41.73854,71,16
"MONTEIASI","TARANTO",39,1174,1367,1.51,45.5,52.98,4682,2772,116,2656,59.21,"CSX/M5S",193,17.380052,40.501236,73,16
"MONTELEONE DI PUGLIA","FOGGIA",9,254,356,1.45,41.03,57.51,1597,740,93,647,46.34,"CSX/M5S",102,15.251238,41.157682,71,16
"MONTEMESOLA","TARANTO",42,506,1648,1.91,23.04,75.05,3317,2420,175,2245,72.96,"CSX/M5S",1142,17.337281,40.564277,73,16
"MONTEPARANO","TARANTO",39,493,568,3.55,44.82,51.64,2105,1210,61,1149,57.48,"CSX/M5S",75,17.413014,40.449112,73,16
"MONTERONI DI LECCE","LECCE",453,3735,3061,6.25,51.52,42.23,11691,8314,801,7513,71.11,"CDX",674,18.089902,40.316242,75,16
"MONTESANO SALENTINO","LECCE",26,466,869,1.91,34.24,63.85,2327,1508,88,1420,64.8,"CSX/M5S",403,18.31554,39.983982,75,16
"MORCIANO DI LEUCA","LECCE",30,499,970,2,33.29,64.71,3951,1589,65,1524,40.22,"CSX/M5S",471,18.305124,39.846794,75,16
"MOTTA MONTECORVINO","FOGGIA",7,121,217,2.03,35.07,62.9,704,378,28,350,53.69,"CSX/M5S",96,15.107386,41.509337,71,16
"MOTTOLA","TARANTO",132,3485,4432,1.64,43.3,55.06,13913,8567,306,8261,61.58,"CSX/M5S",947,17.031964,40.678926,73,16
"MURO LECCESE","LECCE",30,1034,1496,1.17,40.39,58.44,4710,2761,115,2646,58.62,"CSX/M5S",462,18.339176,40.110718,75,16
"NARDO'","LECCE",391,4201,11466,2.43,26.16,71.4,29586,16870,461,16409,57.02,"CSX/M5S",7265,17.957143,40.232873,75,16
"NEVIANO","LECCE",55,1235,1626,1.89,42.35,55.76,5344,3573,526,3047,66.86,"CSX/M5S",391,18.126179,40.097432,75,16
"NOCI","BARI",427,3671,5470,4.46,38.37,57.17,17350,10134,322,9812,58.41,"CSX/M5S",1799,17.099824,40.765163,72,16
"NOCIGLIA","LECCE",16,579,568,1.38,49.79,48.84,2227,1246,55,1191,55.95,"CDX",11,18.321796,40.028195,75,16
"NOICATTARO","BARI",339,3842,7435,2.92,33.08,64.01,21586,12097,240,11857,56.04,"CSX/M5S",3593,16.986981,41.044511,72,16
"NOVOLI","LECCE",68,2063,1837,1.71,51.99,46.3,7135,4216,156,4060,59.09,"CDX",226,18.042821,40.372567,75,16
"ORDONA","FOGGIA",20,646,768,1.39,45.05,53.56,2081,1724,255,1469,82.84,"CSX/M5S",122,15.619357,41.307313,71,16
"ORIA","BRINDISI",119,3590,2663,1.87,56.34,41.79,12991,6927,310,6617,53.32,"CDX",927,17.660162,40.490637,74,16
"ORSARA DI PUGLIA","FOGGIA",16,505,775,1.23,38.97,59.8,3146,1463,102,1361,46.5,"CSX/M5S",270,15.291168,41.294856,71,16
"ORTA NOVA","FOGGIA",81,2436,4029,1.24,37.21,61.55,13683,6985,258,6727,51.05,"CSX/M5S",1593,15.721566,41.322071,71,16
"ORTELLE","LECCE",14,499,832,1.04,37.1,61.86,2151,1412,37,1375,65.64,"CSX/M5S",333,18.39981,40.025694,75,16
"OSTUNI","BRINDISI",408,5589,7455,3.03,41.55,55.42,27207,14238,445,13793,52.33,"CSX/M5S",1866,17.54886,40.730207,74,16
"OTRANTO","LECCE",69,1819,1073,2.33,61.43,36.24,5242,3131,97,3034,59.73,"CDX",746,18.458205,40.161804,75,16
"PALAGIANELLO","TARANTO",175,1678,1597,5.07,48.64,46.29,6535,3750,170,3580,57.38,"CDX",81,16.968966,40.568758,73,16
"PALAGIANO","TARANTO",106,3118,4159,1.44,42.23,56.33,13159,7891,282,7609,59.97,"CSX/M5S",1041,17.020821,40.552151,73,16
"PALMARIGGI","LECCE",7,500,274,0.9,64.02,35.08,1431,855,49,806,59.75,"CDX",226,18.381254,40.133075,75,16
"PALO DEL COLLE","BARI",197,4495,6986,1.69,38.49,59.82,19222,12976,891,12085,67.51,"CSX/M5S",2491,16.652583,41.04086,72,16
"PANNI","FOGGIA",6,181,299,1.23,37.24,61.52,1420,533,28,505,37.54,"CSX/M5S",118,15.284301,41.211841,71,16
"PARABITA","LECCE",141,1191,3271,3.06,25.87,71.06,9116,4893,167,4726,53.67,"CSX/M5S",2080,18.113125,40.056676,75,16
"PATU'","LECCE",24,233,765,2.35,22.8,74.85,1718,1085,47,1038,63.15,"CSX/M5S",532,18.319389,39.828822,75,16
"PESCHICI","FOGGIA",23,1205,700,1.19,62.5,36.31,4222,2072,66,2006,49.08,"CDX",505,16.031925,41.911906,71,16
"PIETRAMONTECORVINO","FOGGIA",12,462,817,0.93,35.79,63.28,2593,1396,67,1329,53.84,"CSX/M5S",355,15.154032,41.546447,71,16
"POGGIARDO","LECCE",55,1386,1615,1.8,45.35,52.85,5424,3249,130,3119,59.9,"CSX/M5S",229,18.385652,40.059501,75,16
"POGGIO IMPERIALE","FOGGIA",11,536,480,1.07,52.19,46.74,2292,1137,70,1067,49.61,"CDX",56,15.339455,41.829808,71,16
"POGGIORSINI","BARI",335,266,222,40.7,32.32,26.97,1188,868,21,847,73.06,"CDX",44,16.249281,40.920684,72,16
"POLIGNANO A MARE","BARI",139,2377,5097,1.83,31.22,66.95,17174,8013,244,7769,46.66,"CSX/M5S",2720,17.191309,40.972624,72,16
"PORTO CESAREO","LECCE",135,2304,1095,3.82,65.2,30.98,5472,4029,423,3606,73.63,"CDX",1209,17.835208,40.294191,75,16
"PRESICCE-ACQUARICA","LECCE",211,2104,2928,4.02,40.13,55.85,11259,6292,840,5452,55.88,"CSX/M5S",824,18.245653,39.896689,75,16
"PULSANO","TARANTO",391,2382,2502,7.41,45.16,47.43,9825,5653,203,5450,57.54,"CSX/M5S",120,17.3666,40.371287,73,16
"PUTIGNANO","BARI",333,5280,7697,2.5,39.67,57.83,24492,14329,574,13755,58.5,"CSX/M5S",2417,17.088952,40.842992,72,16
"RACALE","LECCE",82,2186,3456,1.43,38.19,60.38,9948,6551,588,5963,65.85,"CSX/M5S",1270,18.068464,39.961563,75,16
"RIGNANO GARGANICO","FOGGIA",35,258,682,3.59,26.46,69.95,1873,1028,33,995,54.89,"CSX/M5S",424,15.580302,41.66197,71,16
"ROCCAFORZATA","TARANTO",13,380,492,1.47,42.94,55.59,1549,960,44,916,61.98,"CSX/M5S",112,17.398965,40.436718,73,16
"ROCCHETTA SANT'ANTONIO","FOGGIA",23,279,813,2.06,25.02,72.91,1758,1281,149,1132,72.87,"CSX/M5S",534,15.482745,41.101993,71,16
"RODI GARGANICO","FOGGIA",33,535,928,2.21,35.76,62.03,3322,1618,81,1537,48.71,"CSX/M5S",393,15.882026,41.921117,71,16
"ROSETO VALFORTORE","FOGGIA",27,171,217,6.51,41.2,52.29,2190,446,20,426,20.37,"CSX/M5S",46,15.110049,41.357851,71,16
"RUFFANO","LECCE",53,1703,1860,1.47,47.1,51.44,9155,3989,194,3795,43.57,"CSX/M5S",157,18.246818,39.98558,75,16
"RUTIGLIANO","BARI",122,3160,5077,1.46,37.8,60.74,15630,8776,260,8516,56.15,"CSX/M5S",1917,17.00694,40.993113,72,16
"RUVO DI PUGLIA","BARI",605,4408,6398,5.3,38.63,56.07,21733,12201,437,11764,56.14,"CSX/M5S",1990,16.426144,41.040221,72,16
"SALICE SALENTINO","LECCE",59,1675,2052,1.56,44.24,54.2,7529,4109,204,3905,54.58,"CSX/M5S",377,17.895632,40.379509,75,16
"SALVE","LECCE",44,721,1377,2.05,33.66,64.29,5591,2343,132,2211,41.91,"CSX/M5S",656,18.256976,39.855707,75,16
"SAMMICHELE DI BARI","BARI",87,1083,1930,2.81,34.94,62.26,6386,3279,92,3187,51.35,"CSX/M5S",847,16.950165,40.873775,72,16
"SAN CASSIANO","LECCE",11,562,538,0.99,50.59,48.42,1845,1193,52,1141,64.66,"CDX",24,18.323862,40.048304,75,16
"SAN CESARIO DI LECCE","LECCE",118,2009,1833,2.98,50.73,46.29,6845,4181,133,4048,61.08,"CDX",176,18.162257,40.305215,75,16
"SAN DONACI","BRINDISI",81,1076,1480,3.07,40.8,56.12,5817,2997,215,2782,51.52,"CSX/M5S",404,17.899714,40.452677,74,16
"SAN DONATO DI LECCE","LECCE",36,1183,1915,1.15,37.75,61.1,4893,3366,146,3220,68.79,"CSX/M5S",732,18.190568,40.260656,75,16
"SAN FERDINANDO DI PUGLIA","BARLETTA-ANDRIA-TRANI",91,2661,3391,1.48,43.32,55.2,11221,6560,263,6297,58.46,"CSX/M5S",730,16.040849,41.285843,110,16
"SAN GIORGIO IONICO","TARANTO",184,2365,3754,2.92,37.52,59.56,12639,6709,203,6506,53.08,"CSX/M5S",1389,17.367812,40.467946,73,16
"SAN GIOVANNI ROTONDO","FOGGIA",460,4354,7717,3.67,34.75,61.58,23816,13466,489,12977,56.54,"CSX/M5S",3363,15.748822,41.654215,71,16
"SAN MARCO IN LAMIS","FOGGIA",160,2831,3390,2.51,44.37,53.13,14142,7069,345,6724,49.99,"CSX/M5S",559,15.655956,41.708797,71,16
"SAN MARCO LA CATOLA","FOGGIA",56,120,210,14.51,31.09,54.4,1981,457,46,411,23.07,"CSX/M5S",90,15.009976,41.51848,71,16
"SAN MARZANO DI SAN GIUSEPPE","TARANTO",90,1429,2553,2.21,35.09,62.7,7839,4436,240,4196,56.59,"CSX/M5S",1124,17.507075,40.453843,73,16
"SAN MICHELE SALENTINO","BRINDISI",43,1078,1653,1.55,38.86,59.59,5741,3062,201,2861,53.34,"CSX/M5S",575,17.635775,40.605608,74,16
"SAN NICANDRO GARGANICO","FOGGIA",130,3174,2592,2.2,53.83,43.96,16165,6423,296,6127,39.73,"CDX",582,15.575588,41.844083,71,16
"SAN PANCRAZIO SALENTINO","BRINDISI",138,1411,2891,3.11,31.78,65.11,9093,4904,246,4658,53.93,"CSX/M5S",1480,17.825834,40.431428,74,16
"SAN PAOLO DI CIVITATE","FOGGIA",39,621,1659,1.68,26.78,71.54,5538,2487,102,2385,44.91,"CSX/M5S",1038,15.259566,41.763157,71,16
"SAN PIETRO IN LAMA","LECCE",72,885,996,3.69,45.31,51,3158,2415,336,2079,76.47,"CSX/M5S",111,18.105802,40.293742,75,16
"SAN PIETRO VERNOTICO","BRINDISI",113,2969,2700,1.95,51.35,46.7,12427,6264,283,5981,50.41,"CDX",269,18.006354,40.514124,74,16
"SAN SEVERO","FOGGIA",679,8466,11148,3.35,41.72,54.94,44928,22086,974,21112,49.16,"CSX/M5S",2682,15.422286,41.65706,71,16
"SAN VITO DEI NORMANNI","BRINDISI",262,4991,5022,2.55,48.57,48.88,18472,11543,945,10598,62.49,"CSX/M5S",31,17.703526,40.640704,74,16
"SANARICA","LECCE",9,382,404,1.13,48.05,50.82,1433,824,18,806,57.5,"CSX/M5S",22,18.351705,40.084837,75,16
"SANNICANDRO DI BARI","BARI",86,1803,3282,1.66,34.87,63.47,9998,5396,119,5277,53.97,"CSX/M5S",1479,16.788482,40.976411,72,16
"SANNICOLA","LECCE",106,974,1558,4.02,36.92,59.06,6078,2851,143,2708,46.91,"CSX/M5S",584,18.048876,40.096215,75,16
"SANT'AGATA DI PUGLIA","FOGGIA",12,495,383,1.35,55.62,43.03,1844,975,46,929,52.87,"CDX",112,15.384122,41.145585,71,16
"SANTA CESAREA TERME","LECCE",21,792,806,1.3,48.92,49.78,2630,1696,52,1644,64.49,"CSX/M5S",14,18.444481,40.05304,75,16
"SANTERAMO IN COLLE","BARI",504,4625,8320,3.75,34.39,61.86,23928,14374,473,13901,60.07,"CSX/M5S",3695,16.745269,40.780898,72,16
"SAVA","TARANTO",1100,3501,2341,15.85,50.43,33.72,14618,7474,292,7182,51.13,"CDX",1160,17.536361,40.397564,73,16
"SCORRANO","LECCE",44,1618,2103,1.17,42.97,55.86,6720,4027,135,3892,59.93,"CSX/M5S",485,18.277639,40.075257,75,16
"SECLI'","LECCE",21,532,420,2.16,54.68,43.17,1845,1057,54,1003,57.29,"CDX",112,18.105757,40.127363,75,16
"SERRACAPRIOLA","FOGGIA",102,1090,732,5.3,56.65,38.05,4073,2291,293,1998,56.25,"CDX",358,15.188644,41.820573,71,16
"SOGLIANO CAVOUR","LECCE",60,1053,1273,2.51,44.13,53.35,3733,2801,314,2487,75.03,"CSX/M5S",220,18.201888,40.148006,75,16
"SOLETO","LECCE",75,1071,1522,2.81,40.14,57.05,4738,2853,122,2731,60.22,"CSX/M5S",451,18.19762,40.199198,75,16
"SPECCHIA","LECCE",76,791,1311,3.49,36.32,60.19,4762,2348,98,2250,49.31,"CSX/M5S",520,18.288681,39.942218,75,16
"SPINAZZOLA","BARLETTA-ANDRIA-TRANI",200,1490,1297,6.7,49.88,43.42,5634,3274,154,3120,58.11,"CDX",193,16.133014,40.966833,110,16
"SPONGANO","LECCE",44,803,1056,2.31,42.2,55.49,3353,2033,94,1939,60.63,"CSX/M5S",253,18.358631,40.015196,75,16
"SQUINZANO","LECCE",92,3622,3756,1.23,48.49,50.28,13094,7901,269,7632,60.34,"CSX/M5S",134,18.031796,40.452937,75,16
"STATTE","TARANTO",119,1910,3614,2.11,33.85,64.04,11196,6074,233,5841,54.25,"CSX/M5S",1704,17.223949,40.551365,73,16
"STERNATIA","LECCE",25,437,878,1.87,32.61,65.52,1984,1422,49,1373,71.67,"CSX/M5S",441,18.222168,40.226722,75,16
"STORNARA","FOGGIA",35,585,1451,1.69,28.25,70.06,3950,2225,105,2120,56.33,"CSX/M5S",866,15.777256,41.293117,71,16
"STORNARELLA","FOGGIA",16,1059,1165,0.71,47.28,52.01,3919,2373,94,2279,60.55,"CSX/M5S",106,15.721528,41.266335,71,16
"SUPERSANO","LECCE",41,972,775,2.29,54.36,43.34,4100,1944,109,1835,47.41,"CDX",197,18.24629,40.033894,75,16
"SURANO","LECCE",16,347,487,1.88,40.82,57.29,1637,925,52,873,56.51,"CSX/M5S",140,18.335123,40.021359,75,16
"SURBO","LECCE",150,2840,4670,1.96,37.08,60.97,12351,8716,716,8000,70.57,"CSX/M5S",1830,18.133061,40.414132,75,16
"TARANTO","TARANTO",2129,27021,49756,2.7,34.24,63.06,165813,83857,2231,81626,50.57,"CSX/M5S",22735,17.275132,40.474329,73,16
"TAURISANO","LECCE",154,1988,2601,3.25,41.91,54.84,12586,5059,199,4860,40.2,"CSX/M5S",613,18.217834,39.95134,75,16
"TAVIANO","LECCE",112,2167,2740,2.23,43.18,54.59,10614,5425,259,5166,51.11,"CSX/M5S",573,18.072022,39.989068,75,16
"TERLIZZI","BARI",452,3564,8148,3.72,29.3,66.98,23178,13202,450,12752,56.96,"CSX/M5S",4584,16.548951,41.113514,72,16
"TIGGIANO","LECCE",14,503,1090,0.87,31.3,67.83,2605,1681,53,1628,64.53,"CSX/M5S",587,18.368013,39.902906,75,16
"TORCHIAROLO","BRINDISI",69,1574,1112,2.5,57.13,40.36,4752,3500,547,2953,73.65,"CDX",462,18.05412,40.503214,74,16
"TORITTO","BARI",119,1974,2063,2.86,47.5,49.64,7942,4342,102,4240,54.67,"CSX/M5S",89,16.616767,40.973321,72,16
"TORRE SANTA SUSANNA","BRINDISI",87,2973,1692,1.83,62.56,35.61,9546,5333,313,5020,55.87,"CDX",1281,17.749465,40.48452,74,16
"TORREMAGGIORE","FOGGIA",356,2932,3237,5.46,44.93,49.61,13916,7079,291,6788,50.87,"CSX/M5S",305,15.238655,41.664524,71,16
"TORRICELLA","TARANTO",60,1219,1181,2.44,49.55,48.01,3750,2608,72,2536,69.55,"CDX",38,17.496432,40.347306,73,16
"TRANI","BARLETTA-ANDRIA-TRANI",632,10011,18599,2.16,34.24,63.6,48896,33410,2988,30422,68.33,"CSX/M5S",8588,16.390226,41.239201,110,16
"TREPUZZI","LECCE",110,2290,4796,1.53,31.82,66.65,12557,7736,315,7421,61.61,"CSX/M5S",2506,18.067428,40.413959,75,16
"TRICASE","LECCE",174,3707,5935,1.77,37.76,60.46,16143,11109,993,10116,68.82,"CSX/M5S",2228,18.358838,39.941245,75,16
"TRIGGIANO","BARI",352,2883,9115,2.85,23.34,73.81,25154,12951,267,12684,51.49,"CSX/M5S",6232,16.946568,41.070997,72,16
"TRINITAPOLI","BARLETTA-ANDRIA-TRANI",137,4640,2599,1.86,62.91,35.24,11322,8507,930,7577,75.14,"CDX",2041,16.063502,41.352078,110,16
"TROIA","FOGGIA",59,974,2284,1.78,29.36,68.86,6106,3576,136,3440,58.57,"CSX/M5S",1310,15.361032,41.365108,71,16
"TUGLIE","LECCE",38,1448,1439,1.3,49.5,49.2,6076,3090,89,3001,50.86,"CDX",9,18.095128,40.077996,75,16
"TURI","BARI",132,2397,3253,2.28,41.46,56.26,12305,6117,152,5965,49.71,"CSX/M5S",856,17.010566,40.907364,72,16
"UGENTO","LECCE",77,2390,2402,1.58,49.09,49.33,13064,5279,248,5031,40.41,"CSX/M5S",12,18.162822,39.916322,75,16
"UGGIANO LA CHIESA","LECCE",128,1060,1389,4.97,41.13,53.9,4135,3071,392,2679,74.27,"CSX/M5S",329,18.453478,40.109205,75,16
"VALENZANO","BARI",225,3239,5436,2.53,36.39,61.08,16395,9278,149,9129,56.59,"CSX/M5S",2197,16.88746,41.035061,72,16
"VEGLIE","LECCE",198,4062,3218,2.65,54.32,43.03,12212,8743,988,7755,71.59,"CDX",844,17.924236,40.34288,75,16
"VERNOLE","LECCE",53,1729,1891,1.44,47.07,51.48,6287,3955,135,3820,62.91,"CSX/M5S",162,18.30936,40.32344,75,16
"VICO DEL GARGANO","FOGGIA",58,1797,1269,1.86,57.52,40.62,7846,3319,98,3221,42.3,"CDX",528,15.979817,41.869002,71,16
"VIESTE","FOGGIA",204,2057,3056,3.84,38.69,57.48,12903,5711,243,5468,44.26,"CSX/M5S",999,16.119751,41.842023,71,16
"VILLA CASTELLI","BRINDISI",117,1948,2325,2.67,44.37,52.96,8035,4783,213,4570,59.53,"CSX/M5S",377,17.481079,40.563178,74,16
"VOLTURARA APPULA","FOGGIA",0,40,149,0,21.16,78.84,859,214,19,195,24.91,"CSX/M5S",109,15.063914,41.476528,71,16
"VOLTURINO","FOGGIA",4,398,373,0.52,51.35,48.13,1527,855,54,801,55.99,"CDX",25,15.161824,41.494053,71,16
"ZAPPONETA","FOGGIA",197,1213,345,11.23,69.12,19.66,2500,1853,69,1784,74.12,"CDX",868,15.908468,41.455954,71,16
"ZOLLINO","LECCE",20,242,931,1.68,20.28,78.04,1963,1300,62,1238,66.23,"CSX/M5S",689,18.25062,40.206599,75,16
