"fake_date","1961-1990","1991-2020","2025"
2025-06-01,15.8424401415018,16.8976977597495,19.6868289092207
2025-06-02,15.9004302887406,17.2597656322259,19.5176503323419
2025-06-03,16.0613191321483,17.4432229629338,19.6923370870268
2025-06-04,16.0506311084788,17.5389109651765,19.6660205485277
2025-06-05,16.0747836629181,17.6450922717225,19.7749885658044
2025-06-06,16.1723806326639,17.7497005164975,20.5930430100684
2025-06-07,16.310867968994,18.0382073870302,21.4447810191296
2025-06-08,16.4398704646616,18.3332881783769,21.6929169964098
2025-06-09,16.5406737671776,18.5140914191284,21.1558942543863
2025-06-10,16.8524674925907,18.7925762692522,21.4459812515381
2025-06-11,17.1086289124459,18.7532732842024,22.3689961273778
2025-06-12,17.2461422300356,18.6663960341199,23.130850198992
2025-06-13,17.5233254168585,18.7340048909557,23.9544866834032
2025-06-14,17.9071832117687,18.8445132020912,24.5104043679005
2025-06-15,17.9614245528813,19.1740834164482,24.605984621478
2025-06-16,17.593490847202,19.5966396398542,23.4363265755591
2025-06-17,17.5390644119825,19.6628027702517,21.4670121794353
2025-06-18,17.4601652928036,19.7659871617193,21.8328830221835
2025-06-19,17.5475118500821,19.8570482665187,22.8038777889184
2025-06-20,18.0062971932318,19.9354306769801,23.219587653798
2025-06-21,18.5543384469536,20.2037487250724,22.8128177711152
2025-06-22,18.8187019255461,20.5685989891973,22.9193841077723
2025-06-23,19.1275042952694,20.617658238199,23.5832790438374
2025-06-24,19.1807965192811,20.6031522550182,24.1058465949395
2025-06-25,19.3819888549448,20.6730022607122,25.1429860445509
2025-06-26,19.6463677996737,20.840510385666,25.4064264835879
2025-06-27,19.6766671614075,21.0876797923295,25.2105140087559
2025-06-28,19.6582007358068,21.1811801598599,25.7562383886176
2025-06-29,19.7091858249447,21.0817695971098,25.9815164359872
2025-06-30,19.7030467268413,21.2196881626275,26.0161069892379
2025-07-01,19.6583029737782,21.4142511928185,25.9788476181738
2025-07-02,19.7698263594413,21.5456589329456,25.7458314797848
2025-07-03,19.9110208644481,21.747246214262,26.0283744430308
2025-07-04,20.0595476250653,21.8573630088098,26.1233108774978
2025-07-05,20.043473938755,21.8813370325892,25.1100802350294
2025-07-06,20.0262007008229,21.9223679009846,24.207506830358
2025-07-07,20.1909583321273,21.8199962908923,22.888183220527
2025-07-08,20.337355169996,21.5597199655003,20.9637473829152
2025-07-09,20.4977493927019,21.2930582163929,19.5525059304757
2025-07-10,20.6027653371155,21.2188551433301,19.9977208647041
2025-07-11,20.5720530543918,21.222904015412,20.6103379191258
2025-07-12,20.8361412530577,21.3276538672165,21.2401604221809
2025-07-13,20.9935561313831,21.4699533067857,21.7771956992194
2025-07-14,21.1653777004886,21.3853152071865,22.8963209429077
2025-07-15,21.1730157306712,21.4440222463903,23.8502096551963
2025-07-16,20.9738905280124,21.6616281978679,23.9788772875177
2025-07-17,20.9831149400693,21.8569548043155,23.5068638198975
2025-07-18,20.7972945001455,22.0053552471661,23.4312184626561
2025-07-19,20.5675646961974,22.2871951352383,24.02288972361
2025-07-20,20.6240981270262,22.3832884259349,24.4646209415204
2025-07-21,20.9191764135678,22.3921583025257,24.6659070453798
2025-07-22,21.0555219364772,22.5507012140859,24.1743504713317
2025-07-23,21.2821068351985,22.739487868983,23.6703039893846
2025-07-24,21.5308578309002,22.5567048306667,23.8724110236355
2025-07-25,21.4959736551307,22.2811289727011,23.7391542186113
2025-07-26,21.2651946795288,22.2259150441644,21.8472295260412
2025-07-27,21.0174128490981,22.5061476947987,21.5420544705029
2025-07-28,21.0985075267523,22.735970817379,19.810045044624
2025-07-29,21.3491132312486,22.6878934995711,19.6316855210888
2025-07-30,21.3432982302017,22.6777105908301,19.8429855092209
2025-07-31,21.3522039924351,22.6155780967383,20.6551858469615
2025-08-01,21.4471800636255,22.7834774599317,21.0769329898072
2025-08-02,21.5925320706002,23.0965961389543,20.1705923607056
2025-08-03,21.7439195865025,23.0440462894293,19.973340967189
2025-08-04,21.7851789855015,22.8947710121665,20.1456580196803
2025-08-05,21.7934775647988,22.7757378427195,21.3606667512136
2025-08-06,21.6501449339916,22.7029298659434,21.875914927925
2025-08-07,21.4398156659115,22.8159036637529,22.4454660152932
2025-08-08,21.2504164820032,22.7853235428142,23.9574330905398
2025-08-09,20.8199094901532,22.6369757972922,25.2717473973162
2025-08-10,20.8205990790335,22.4465536571901,26.1292070847076
2025-08-11,20.8631725597948,22.1518045762744,26.2037826113968
2025-08-12,20.8719840188161,21.9574793547989,26.0599602589127
2025-08-13,21.0743219433331,21.9990996406527,26.1708098479301
2025-08-14,21.2529250950985,21.8822300870699,25.6999812314067
2025-08-15,21.5223732052749,21.8193671952409,25.1646735433446
2025-08-16,21.3648851981744,21.8085112117954,24.5704475991884
2025-08-17,21.0069572855566,21.9852550519944,23.821737320295
2025-08-18,20.5620236317262,22.1288946920248,23.290356956138
2025-08-19,20.2366710151549,22.3215603811743,22.8996014411838
2025-08-20,20.2203128000238,22.360410185216,22.3326986349387
2025-08-21,20.1645393662186,22.1316223634623,21.4395859245314
2025-08-22,19.8644217529053,21.9550710331348,20.9090106099384
2025-08-23,19.5202219541513,21.9559075270513,20.3832944703883
2025-08-24,19.0415500564683,21.9612783126097,19.7435797104062
2025-08-25,18.9128345897128,21.8628425857324,20.3054850888737
2025-08-26,18.942950764609,21.760082887803,21.4770950157161
2025-08-27,19.0991540847162,21.6286784944305,21.9102995959087
2025-08-28,19.1299297145048,21.3028936080196,22.4664831169746
2025-08-29,19.0350819327543,20.8336422727609,21.142950550666
2025-08-30,18.8792603833404,20.4388446065656,19.2086349157436
2025-08-31,18.6692412604369,19.9469999015295,19.4581374452909
